Wall time,Step,Value
1638106619.255246,0,0.002360990736633539
1638106895.843471,1,0.0
1638107134.9166334,2,0.0
1638107371.3743773,3,0.0
1638107606.312349,4,0.0
1638107841.679965,5,0.0
1638108076.9161904,6,0.0
1638108312.1922927,7,0.09885872900485992
1638108547.6243,8,0.14577889442443848
1638108783.0027862,9,0.4503943622112274
1638109018.9509456,10,0.5374739766120911
1638109254.3178349,11,0.6443855166435242
1638109490.0283673,12,0.7282956838607788
1638109725.7958033,13,0.7624028325080872
1638109961.5848174,14,0.7501611709594727
1638110197.2027512,15,0.8010804653167725
1638110432.9490626,16,0.842868447303772
1638110668.7468445,17,0.8464303612709045
1638110904.4447083,18,0.8702682256698608
1638111140.2287464,19,0.8802692890167236
1638111376.5649817,20,0.8748692274093628
1638111612.4168043,21,0.8831725716590881
1638111848.1581383,22,0.8992323279380798
1638112083.8944373,23,0.8829508423805237
1638112319.5316677,24,0.8854634165763855
1638112555.2724388,25,0.8857679963111877
1638112791.1013768,26,0.8976655602455139
1638113026.8234684,27,0.8947175741195679
1638113262.7645507,28,0.8949061036109924
1638113498.8169947,29,0.8919020295143127
1638113735.1811092,30,0.9076764583587646
1638113971.1349015,31,0.9147957563400269
1638114206.9514825,32,0.9240952730178833
1638114442.7935984,33,0.8928570747375488
1638114678.7356453,34,0.9226086139678955
1638114914.6814287,35,0.9203523397445679
1638115150.52264,36,0.8716307878494263
1638115386.41007,37,0.9144872426986694
1638115622.237948,38,0.904902458190918
1638115858.0824213,39,0.9218510389328003
1638116094.2480457,40,0.9148426055908203
1638116330.2710109,41,0.9241573214530945
1638116566.3168237,42,0.9100764393806458
1638116802.3845155,43,0.928841769695282
1638117038.3104293,44,0.9077950119972229
1638117274.4203763,45,0.9309342503547668
1638117510.5140712,46,0.918394923210144
1638117746.5208464,47,0.9379215836524963
1638117982.5963643,48,0.9318080544471741
1638118218.6879208,49,0.9274874925613403
1638118455.0034726,50,0.9318123459815979
1638118690.8552253,51,0.9375990629196167
1638118926.5879185,52,0.9351543188095093
1638119162.4921095,53,0.9334965944290161
1638119398.5291545,54,0.9369384050369263
1638119634.571848,55,0.9348333477973938
1638119870.4213352,56,0.9340701103210449
1638120106.326519,57,0.9369080662727356
1638120342.1419709,58,0.9300431609153748
1638120578.1801324,59,0.9324795007705688
1638120814.6000721,60,0.9387060403823853
1638121050.77988,61,0.9351561665534973
1638121286.9581938,62,0.932942271232605
1638121522.9127793,63,0.937421977519989
1638121759.1915445,64,0.93930983543396
1638121995.3739014,65,0.9302593469619751
1638122231.3736067,66,0.936384916305542
1638122467.4637165,67,0.948261022567749
1638122703.3741362,68,0.9326272010803223
1638122939.24901,69,0.9306087493896484
1638123175.6723146,70,0.9217778444290161
1638123411.5807736,71,0.946922779083252
1638123647.4145472,72,0.9364691376686096
1638123883.394571,73,0.9368680715560913
1638124119.1410606,74,0.9332901239395142
1638124354.960479,75,0.9339330196380615
1638124590.539582,76,0.935894787311554
1638124826.2941942,77,0.9316762685775757
1638125061.9280055,78,0.9202330112457275
1638125297.6167672,79,0.9351937174797058
1638125533.6317856,80,0.9248594045639038
1638125769.400797,81,0.9333962202072144
1638126005.1833987,82,0.9343603849411011
1638126240.9600065,83,0.9318016171455383
1638126476.7667646,84,0.9436880350112915
1638126712.4188027,85,0.9348058700561523
1638126948.3090024,86,0.9292768836021423
1638127183.9759638,87,0.9295853972434998
1638127419.661678,88,0.9394638538360596
1638127655.4148066,89,0.9326687455177307
1638127891.617061,90,0.9368425011634827
1638128127.3431783,91,0.9338917136192322
1638128362.9843152,92,0.9315319657325745
1638128598.8397467,93,0.9282554388046265
1638128834.5855763,94,0.9461184740066528
1638129070.2670095,95,0.9308032393455505
1638129305.9933894,96,0.9415987730026245
1638129541.7262976,97,0.9466761350631714
1638129777.6556952,98,0.9374088644981384
1638130013.3640144,99,0.9333856701850891
1638130249.608983,100,0.9347841143608093
1638130485.287883,101,0.9303027987480164
1638130721.1452518,102,0.9352114796638489
1638130956.928149,103,0.941347599029541
1638131192.624925,104,0.940434455871582
1638131428.5747912,105,0.933159589767456
1638131664.5134082,106,0.9312549233436584
1638131900.625713,107,0.9340343475341797
1638132136.7602494,108,0.9278569221496582
1638132373.0295475,109,0.9471296072006226
1638132609.514911,110,0.9436810612678528
1638132845.2516787,111,0.9399393200874329
1638133081.0615473,112,0.9359884262084961
1638133317.0866263,113,0.9411923885345459
1638133552.888623,114,0.9417035579681396
1638133788.8765604,115,0.9417513012886047
1638134024.8031888,116,0.9439048767089844
1638134260.766575,117,0.9399667978286743
1638134496.7728071,118,0.9217638373374939
